participant_id,sentence,response
1,安妮在星巴克买了,抹茶星冰乐
2,安妮在星巴克买了,鞋子
3,安妮在星巴克买了,咖啡
4,安妮在星巴克买了,咖啡
5,安妮在星巴克买了,咖啡】
6,安妮在星巴克买了,一杯抹茶星冰乐
7,安妮在星巴克买了,一个蛋糕
8,安妮在星巴克买了,一杯抹茶星冰乐
9,安妮在星巴克买了,咖啡
10,安妮在星巴克买了,咖啡
11,安妮在星巴克买了,咖啡
12,安妮在星巴克买了,咖啡
13,安妮在星巴克买了,咖啡
14,安妮在星巴克买了,咖啡
15,安妮在星巴克买了,咖啡
16,安妮在星巴克买了,杯咖啡
17,安妮在星巴克买了,一杯冰美式
18,安妮在星巴克买了,一杯咖啡
19,安妮在星巴克买了,拿铁
20,安妮在星巴克买了,一杯咖啡
21,安妮在星巴克买了,一杯咖啡
22,安妮在星巴克买了,一杯咖啡
23,安妮在星巴克买了,一杯咖啡
24,安妮在星巴克买了,咖啡
25,安妮在星巴克买了,一杯咖啡
26,安妮在星巴克买了,咖啡
27,安妮在星巴克买了,一杯焦糖玛奇朵
28,安妮在星巴克买了,一杯奶茶
29,安妮在星巴克买了,一杯咖啡
30,安妮在星巴克买了,一杯咖啡
31,安妮在星巴克买了,焦糖玛奇朵
1,在花园里玩耍时，小男孩送给小女孩,一束雏菊
2,在花园里玩耍时，小男孩送给小女孩,刚摘下的花
3,在花园里玩耍时，小男孩送给小女孩,花
4,在花园里玩耍时，小男孩送给小女孩,气球
5,在花园里玩耍时，小男孩送给小女孩,一束花
6,在花园里玩耍时，小男孩送给小女孩,一朵花花
7,在花园里玩耍时，小男孩送给小女孩,一个棉花糖
8,在花园里玩耍时，小男孩送给小女孩,一朵花
9,在花园里玩耍时，小男孩送给小女孩,一朵玫瑰
10,在花园里玩耍时，小男孩送给小女孩,小鲜花
11,在花园里玩耍时，小男孩送给小女孩,一朵小花
12,在花园里玩耍时，小男孩送给小女孩,一朵花
13,在花园里玩耍时，小男孩送给小女孩,小花朵
14,在花园里玩耍时，小男孩送给小女孩,一个玩具
15,在花园里玩耍时，小男孩送给小女孩,鲜花
16,在花园里玩耍时，小男孩送给小女孩,一个棒棒糖
17,在花园里玩耍时，小男孩送给小女孩,泥巴
18,在花园里玩耍时，小男孩送给小女孩,一朵花
19,在花园里玩耍时，小男孩送给小女孩,小花
20,在花园里玩耍时，小男孩送给小女孩,花
21,在花园里玩耍时，小男孩送给小女孩,鹅卵石
22,在花园里玩耍时，小男孩送给小女孩,一个玩具
23,在花园里玩耍时，小男孩送给小女孩,黑乎乎的独角仙
24,在花园里玩耍时，小男孩送给小女孩,一座花园
25,在花园里玩耍时，小男孩送给小女孩,奥特曼卡片
26,在花园里玩耍时，小男孩送给小女孩,一朵花
27,在花园里玩耍时，小男孩送给小女孩,一朵花
28,在花园里玩耍时，小男孩送给小女孩,一朵花
29,在花园里玩耍时，小男孩送给小女孩,一朵花
30,在花园里玩耍时，小男孩送给小女孩,一朵野花
