sentence,response,count,cloze_probability,number_of_response
安妮在星巴克买了,茶,3,0.0967741935483871,31
安妮在星巴克买了,星,3,0.0967741935483871,31
安妮在星巴克买了,冰,4,0.12903225806451613,31
安妮在星巴克买了,鞋子,1,0.03225806451612903,31
安妮在星巴克买了,咖啡,21,0.6774193548387096,31
安妮在星巴克买了,蛋糕,1,0.03225806451612903,31
安妮在星巴克买了,铁,1,0.03225806451612903,31
安妮在星巴克买了,焦糖,2,0.06451612903225806,31
安妮在星巴克买了,奶茶,1,0.03225806451612903,31
在花园里玩耍时，小男孩送给小女孩,no_match,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,花,14,0.4666666666666667,30
在花园里玩耍时，小男孩送给小女孩,的,2,0.06666666666666667,30
在花园里玩耍时，小男孩送给小女孩,气球,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,棉花,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,糖,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,玫瑰,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,鲜花,2,0.06666666666666667,30
在花园里玩耍时，小男孩送给小女孩,花朵,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,玩具,2,0.06666666666666667,30
在花园里玩耍时，小男孩送给小女孩,棒棒糖,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,泥巴,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,鹅卵石,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,角,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,花园,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,卡片,1,0.03333333333333333,30
在花园里玩耍时，小男孩送给小女孩,野花,1,0.03333333333333333,30
